"Date","Price","Open","High","Low","Vol.","Change %"
"03/14/2018","453.52","454.12","457.08","452.12","4.43M","-0.13%"
"03/13/2018","454.10","459.82","460.10","452.35","4.72M","-1.27%"
"03/12/2018","459.92","460.40","461.43","457.74","4.37M","0.49%"
"03/09/2018","457.66","452.96","457.73","452.37","4.45M","0.83%"
"03/08/2018","453.90","447.30","455.00","447.05","5.18M","1.55%"
"03/07/2018","446.99","440.62","447.89","438.71","5.79M","1.22%"
"03/06/2018","441.62","439.04","443.25","439.04","5.38M","0.92%"
"03/05/2018","437.58","426.95","438.37","426.39","5.23M","2.51%"
"03/02/2018","426.88","434.12","434.12","425.28","4.43M","-2.15%"
"03/01/2018","436.28","443.00","443.45","433.84","6.07M","-2.04%"
"02/28/2018","445.36","445.23","447.07","444.00","5.50M","0.01%"
"02/27/2018","445.30","444.93","447.80","443.93","4.78M","0.21%"
"02/26/2018","444.37","442.63","446.57","442.63","5.78M","0.84%"
"02/23/2018","440.67","439.80","440.97","437.05","4.13M","0.20%"
"02/22/2018","439.77","441.84","441.84","436.02","6.06M","-0.87%"
"02/21/2018","443.63","443.12","443.89","439.71","4.06M","-0.14%"
"02/20/2018","444.25","439.27","444.69","436.69","4.30M","1.13%"
"02/19/2018","439.30","442.60","442.95","438.06","2.90M","-0.63%"
"02/16/2018","442.08","439.79","442.99","439.79","5.45M","0.76%"
"02/15/2018","438.74","435.98","441.42","435.98","5.34M","0.89%"
"02/14/2018","434.87","429.81","435.35","426.66","4.96M","1.63%"
"02/13/2018","427.90","429.81","431.74","427.15","4.35M","-0.44%"
"02/12/2018","429.78","425.01","432.07","425.01","5.51M","1.43%"
"02/09/2018","423.70","426.37","431.25","421.73","9.25M","-1.01%"
"02/08/2018","428.02","439.20","439.58","426.84","7.47M","-3.20%"
"02/07/2018","442.15","434.70","443.17","434.70","8.23M","2.20%"
"02/06/2018","432.64","434.04","437.62","426.45","12.76M","-2.24%"
"02/05/2018","442.57","444.91","444.91","438.67","9.45M","-0.91%"
"02/02/2018","446.63","452.43","453.31","446.50","8.26M","-1.51%"
"02/01/2018","453.47","451.56","457.29","451.56","12.81M","0.74%"
"01/31/2018","450.13","449.30","451.56","447.90","12.69M","-0.36%"
"01/30/2018","451.75","455.85","459.11","449.88","6.32M","-1.04%"
"01/29/2018","456.49","455.02","458.78","454.76","6.81M","0.48%"
"01/26/2018","454.32","450.90","454.52","450.07","5.44M","0.72%"
"01/25/2018","451.07","454.18","458.09","450.33","8.06M","-0.86%"
"01/24/2018","454.96","461.94","461.94","454.96","7.26M","-1.66%"
"01/23/2018","462.62","461.89","463.99","461.22","5.02M","0.58%"
"01/22/2018","459.93","462.48","463.13","458.96","4.69M","-0.52%"
"01/19/2018","462.34","458.91","463.77","458.91","5.25M","0.76%"
"01/18/2018","458.86","454.61","459.93","454.61","7.43M","1.41%"
"01/17/2018","452.49","449.29","455.36","449.29","5.65M","0.54%"
"01/16/2018","450.06","448.12","453.92","448.12","4.50M","0.53%"
"01/15/2018","447.68","447.68","449.41","446.75","3.30M","-0.08%"
"01/12/2018","448.02","446.25","448.25","444.57","5.06M","0.33%"
"01/11/2018","446.55","452.13","452.99","445.27","5.20M","-0.92%"
"01/10/2018","450.70","455.53","455.53","449.44","5.32M","-1.07%"
"01/09/2018","455.56","455.09","457.57","453.70","4.76M","0.16%"
"01/08/2018","454.82","457.37","458.27","452.83","4.95M","-0.23%"
"01/05/2018","455.89","451.06","455.89","451.06","5.44M","1.22%"
"01/04/2018","450.41","447.49","451.09","446.98","5.57M","0.84%"
"01/03/2018","446.66","440.24","448.33","440.24","5.54M","1.69%"
"01/02/2018","439.23","439.45","439.93","434.98","5.19M","0.05%"
"12/29/2017","439.00","440.57","441.60","438.52","3.73M","-0.34%"
"12/28/2017","440.48","443.30","443.30","439.95","3.71M","-0.70%"
"12/27/2017","443.59","444.15","444.32","439.76","4.26M","-0.25%"
"12/22/2017","444.72","445.40","445.50","443.47","4.06M","-0.14%"
"12/21/2017","445.36","442.94","446.07","441.40","6.07M","0.60%"
"12/20/2017","442.71","448.63","450.01","441.21","5.45M","-1.27%"
"12/19/2017","448.42","451.11","451.50","447.95","5.07M","-0.53%"
"12/18/2017","450.82","445.07","450.99","445.07","6.21M","1.51%"
"12/15/2017","444.11","444.60","444.60","441.37","9.16M","-0.29%"
"12/14/2017","445.39","446.61","447.79","442.98","5.97M","-0.34%"
"12/13/2017","446.89","444.93","448.59","443.29","7.55M","0.38%"
"12/12/2017","445.19","438.24","445.19","438.24","7.71M","1.66%"
"12/11/2017","437.93","440.66","440.76","436.88","5.61M","-0.58%"
"12/08/2017","440.50","437.71","443.22","437.71","5.63M","0.79%"
"12/07/2017","437.05","437.11","439.61","435.08","6.44M","0.19%"
"12/06/2017","436.24","438.06","438.06","431.52","6.02M","-0.56%"
"12/05/2017","438.71","435.55","439.85","430.86","6.60M","0.55%"
"12/04/2017","436.32","437.71","442.55","434.53","8.40M","0.02%"
"12/01/2017","436.24","443.56","443.68","435.21","7.00M","-1.58%"
"11/30/2017","443.23","444.69","447.11","441.62","11.33M","-0.33%"
"11/29/2017","444.69","458.52","460.84","444.19","5.43M","-2.81%"
"11/28/2017","457.53","456.94","458.97","455.60","4.22M","0.26%"
"11/27/2017","456.36","459.00","459.62","455.94","4.59M","-0.72%"
"11/24/2017","459.66","458.58","462.84","457.32","3.96M","0.25%"
"11/23/2017","458.50","456.70","460.57","453.92","3.89M","0.27%"
"11/22/2017","457.28","462.95","463.06","457.25","5.15M","-1.33%"
"11/21/2017","463.46","456.26","463.93","454.71","6.40M","1.52%"
"11/20/2017","456.53","452.48","456.93","450.08","4.83M","0.93%"
"11/17/2017","452.31","454.38","455.63","452.05","5.77M","-0.31%"
"11/16/2017","453.72","448.36","453.74","447.64","5.39M","1.54%"
"11/15/2017","446.83","448.28","448.28","442.75","6.36M","-0.44%"
"11/14/2017","448.79","448.04","452.95","447.44","6.24M","0.27%"
"11/13/2017","447.57","450.25","451.22","444.47","4.82M","-0.52%"
"11/10/2017","449.90","451.12","453.32","449.77","5.89M","-0.28%"
"11/09/2017","451.17","461.79","462.12","450.65","7.24M","-2.25%"
"11/08/2017","461.56","464.60","466.42","459.99","7.33M","-0.46%"
"11/07/2017","463.68","467.46","468.74","463.10","7.25M","-0.73%"
"11/06/2017","467.09","464.63","468.66","464.53","6.56M","0.77%"
"11/03/2017","463.52","461.22","463.60","461.02","4.42M","0.67%"
"11/02/2017","460.43","465.03","465.03","459.05","5.97M","-0.99%"
"11/01/2017","465.03","458.18","466.36","458.18","6.38M","1.67%"
"10/31/2017","457.38","455.25","457.71","455.11","5.79M","0.64%"
"10/30/2017","454.47","455.69","457.18","454.02","6.92M","-0.19%"
"10/27/2017","455.34","451.42","456.52","451.42","11.09M","1.17%"
"10/26/2017","450.08","450.98","452.48","444.30","18.69M","-0.14%"
"10/25/2017","450.73","449.31","453.86","447.96","4.68M","0.25%"
"10/24/2017","449.61","451.86","454.33","448.55","5.78M","-0.52%"
"10/23/2017","451.97","447.13","452.23","446.38","5.09M","1.31%"
"10/20/2017","446.11","444.12","447.03","443.37","9.10M","0.63%"
"10/19/2017","443.32","442.20","443.46","437.55","5.77M","0.24%"
"10/18/2017","442.26","442.18","447.51","441.22","4.73M","-0.15%"
"10/17/2017","442.93","443.37","445.08","442.93","3.76M","-0.05%"
"10/16/2017","443.14","445.36","445.90","442.60","3.65M","-0.22%"
"10/13/2017","444.10","441.58","445.06","441.58","4.91M","0.68%"
"10/12/2017","441.08","440.07","441.56","439.00","4.79M","0.27%"
"10/11/2017","439.91","440.17","440.91","438.84","4.27M","0.00%"
"10/10/2017","439.92","442.62","444.06","439.46","3.94M","-0.70%"
"10/09/2017","443.04","439.71","443.04","439.71","4.24M","0.89%"
"10/06/2017","439.12","440.40","440.50","438.21","3.77M","-0.24%"
"10/05/2017","440.19","440.30","441.13","438.88","4.94M","-0.02%"
"10/04/2017","440.30","441.83","441.99","438.89","4.84M","-0.21%"
"10/03/2017","441.24","441.08","441.93","440.68","4.02M","-0.01%"
